agent_number,agent_file,agent_name,description,tools,model,sub_agents,capabilities,domain
146,agent_146_director_systems_engineering.py,Director Systems Engineering,Agent 146: Director Systems Engineering,,,,,Technology & Engineering
147,agent_147_director_database_administration.py,Director Database Administration,Agent 147: Director Database Administration,,,,,Technology & Engineering
148,agent_148_director_it_service_management.py,Director It Service Management,Agent 148: Director IT Service Management,,,,management,Technology & Engineering
149,agent_149_director_devops.py,Director Devops,Agent 149: Director DevOps,,,,,Technology & Engineering
150,agent_150_cloud_architect.py,Cloud Architect,Agent 150: Cloud Architect,,,,,Technology & Engineering
151,agent_151_network_architect.py,Network Architect,Agent 151: Network Architect,,,,,Technology & Engineering
152,agent_152_security_architect.py,Security Architect,Agent 152: Security Architect,,,,,Technology & Engineering
153,agent_153_database_architect.py,Database Architect,Agent 153: Database Architect,,,,web search,Technology & Engineering
154,agent_154_infrastructure_engineer.py,Infrastructure Engineer,Agent 154: Infrastructure Engineer,,,,,Technology & Engineering
155,agent_155_systems_administrator.py,Systems Administrator,Agent 155: Systems Administrator,,,,,General Business
156,agent_156_network_engineer.py,Network Engineer,Agent 156: Network Engineer,,,,,General Business
157,agent_157_database_administrator.py,Database Administrator,Agent 157: Database Administrator,,,,,Information & Data
158,agent_158_devops_engineer.py,Devops Engineer,Agent 158: DevOps Engineer,,,,,Technology & Engineering
159,agent_159_site_reliability_engineer.py,Site Reliability Engineer,Agent 159: Site Reliability Engineer,,,,,Information & Data
160,agent_160_cloud_engineer.py,Cloud Engineer,Agent 160: Cloud Engineer,,,,,General Business
161,agent_161_it_service_desk_manager.py,It Service Desk Manager,Agent 161: IT Service Desk Manager,,,,management,Customer Experience
162,agent_162_it_support_specialist.py,It Support Specialist,Agent 162: IT Support Specialist,,,,,Customer Experience
163,agent_163_desktop_support_technician.py,Desktop Support Technician,Agent 163: Desktop Support Technician,,,,,Customer Experience
164,agent_164_help_desk_analyst.py,Help Desk Analyst,Agent 164: Help Desk Analyst,,,,,General Business
165,agent_165_it_asset_manager.py,It Asset Manager,Agent 165: IT Asset Manager,,,,management,General Business
166,agent_166_software_license_manager.py,Software License Manager,Agent 166: Software License Manager,,,,management,Technology & Engineering
167,agent_167_it_vendor_manager.py,It Vendor Manager,Agent 167: IT Vendor Manager,,,,management,General Business
168,agent_168_it_project_manager.py,It Project Manager,Agent 168: IT Project Manager,,,,management,Communications & PR
169,agent_169_scrum_master.py,Scrum Master,Agent 169: Scrum Master,,,,,General Business
170,agent_170_agile_coach.py,Agile Coach,Agent 170: Agile Coach,,,,,General Business
171,agent_171_release_manager.py,Release Manager,Agent 171: Release Manager,,,,management,General Business
172,agent_172_configuration_manager.py,Configuration Manager,Agent 172: Configuration Manager,,,,management,General Business
173,agent_173_change_manager.py,Change Manager,Agent 173: Change Manager,,,,management,General Business
174,agent_174_it_compliance_analyst.py,It Compliance Analyst,Agent 174: IT Compliance Analyst,,,,,Security & Compliance
175,agent_175_it_auditor.py,It Auditor,Agent 175: IT Auditor,,,,,Security & Compliance
176,agent_176_backup_recovery_specialist.py,Backup Recovery Specialist,Agent 176: Backup Recovery Specialist,,,,,General Business
177,agent_177_disaster_recovery_specialist.py,Disaster Recovery Specialist,Agent 177: Disaster Recovery Specialist,,,,,General Business
178,agent_178_storage_administrator.py,Storage Administrator,Agent 178: Storage Administrator,,,,,General Business
179,agent_179_virtualization_engineer.py,Virtualization Engineer,Agent 179: Virtualization Engineer,,,,,General Business
180,agent_180_container_orchestration_specialist.py,Container Orchestration Specialist,Agent 180: Container Orchestration Specialist,,,,,General Business
181,agent_181_monitoring_engineer.py,Monitoring Engineer,Agent 181: Monitoring Engineer,,,,,General Business
182,agent_182_observability_engineer.py,Observability Engineer,Agent 182: Observability Engineer,,,,,Information & Data
183,agent_183_performance_engineer.py,Performance Engineer,Agent 183: Performance Engineer,,,,,General Business
184,agent_184_capacity_planner.py,Capacity Planner,Agent 184: Capacity Planner,,,,,General Business
185,agent_185_automation_engineer.py,Automation Engineer,Agent 185: Automation Engineer,,,,automation,General Business
186,agent_186_ci_cd_engineer.py,Ci Cd Engineer,Agent 186: CI/CD Engineer,,,,,General Business
187,agent_187_platform_engineer.py,Platform Engineer,Agent 187: Platform Engineer,,,,,Integration & Platforms
188,agent_188_kubernetes_administrator.py,Kubernetes Administrator,Agent 188: Kubernetes Administrator,,,,,General Business
189,agent_189_api_gateway_specialist.py,Api Gateway Specialist,Agent 189: API Gateway Specialist,,,,,Integration & Platforms
190,agent_190_microservices_architect.py,Microservices Architect,Agent 190: Microservices Architect,,,,,Technology & Engineering
191,agent_191_integration_engineer.py,Integration Engineer,Agent 191: Integration Engineer,,,,,Integration & Platforms
192,agent_192_middleware_administrator.py,Middleware Administrator,Agent 192: Middleware Administrator,,,,,General Business
193,agent_193_email_systems_administrator.py,Email Systems Administrator,Agent 193: Email Systems Administrator,,,,,General Business
194,agent_194_collaboration_tools_admin.py,Collaboration Tools Admin,Agent 194: Collaboration Tools Admin,,,,,General Business
195,agent_195_identity_access_management_specialist.py,Identity Access Management Specialist,Agent 195: Identity Access Management Specialist,,,,management,General Business
196,agent_196_vpn_specialist.py,Vpn Specialist,Agent 196: VPN Specialist,,,,,General Business
197,agent_197_wireless_network_engineer.py,Wireless Network Engineer,Agent 197: Wireless Network Engineer,,,,,General Business
198,agent_198_firewall_administrator.py,Firewall Administrator,Agent 198: Firewall Administrator,,,,,General Business
199,agent_199_load_balancer_specialist.py,Load Balancer Specialist,Agent 199: Load Balancer Specialist,,,,,General Business
200,agent_200_cdn_specialist.py,Cdn Specialist,Agent 200: CDN Specialist,,,,,General Business
201,agent_201_vp_customer_support.py,Vp Customer Support,Agent 201: VP Customer Support,,,,,Customer Experience
202,agent_202_director_support_operations.py,Director Support Operations,Agent 202: Director Support Operations,,,,,Technology & Engineering
203,agent_203_director_technical_support.py,Director Technical Support,Agent 203: Director Technical Support,,,,,Technology & Engineering
204,agent_204_director_customer_success.py,Director Customer Success,Agent 204: Director Customer Success,,,,,Technology & Engineering
205,agent_205_support_manager.py,Support Manager,Agent 205: Support Manager,,,,management,Customer Experience
206,agent_206_technical_support_manager.py,Technical Support Manager,Agent 206: Technical Support Manager,,,,management,Customer Experience
207,agent_207_customer_success_operations_manager.py,Customer Success Operations Manager,Agent 207: Customer Success Operations Manager,,,,management,Customer Experience
208,agent_208_escalation_manager.py,Escalation Manager,Agent 208: Escalation Manager,,,,management,General Business
209,agent_209_knowledge_management_specialist.py,Knowledge Management Specialist,Agent 209: Knowledge Management Specialist,,,,"web search, management",General Business
210,agent_210_senior_support_engineer.py,Senior Support Engineer,Agent 210: Senior Support Engineer,,,,,Customer Experience
211,agent_211_technical_support_engineer.py,Technical Support Engineer,Agent 211: Technical Support Engineer,,,,,Customer Experience
212,agent_212_customer_support_specialist.py,Customer Support Specialist,Agent 212: Customer Support Specialist,,,,,Customer Experience
213,agent_213_tier1_support_agent.py,Tier1 Support Agent,Agent 213: Tier 1 Support Agent,,,,,Customer Experience
214,agent_214_tier2_support_agent.py,Tier2 Support Agent,Agent 214: Tier 2 Support Agent,,,,,Customer Experience
215,agent_215_tier3_support_agent.py,Tier3 Support Agent,Agent 215: Tier 3 Support Agent,,,,,Customer Experience
216,agent_216_chat_support_specialist.py,Chat Support Specialist,Agent 216: Chat Support Specialist,,,,,Customer Experience
217,agent_217_email_support_specialist.py,Email Support Specialist,Agent 217: Email Support Specialist,,,,,Customer Experience
218,agent_218_phone_support_specialist.py,Phone Support Specialist,Agent 218: Phone Support Specialist,,,,,Customer Experience
219,agent_219_customer_onboarding_specialist.py,Customer Onboarding Specialist,Agent 219: Customer Onboarding Specialist,,,,,Customer Experience
220,agent_220_customer_training_specialist.py,Customer Training Specialist,Agent 220: Customer Training Specialist,,,,,Customer Experience
221,agent_221_implementation_specialist.py,Implementation Specialist,Agent 221: Implementation Specialist,,,,,General Business
222,agent_222_solutions_consultant.py,Solutions Consultant,Agent 222: Solutions Consultant,,,,,General Business
223,agent_223_customer_advocate.py,Customer Advocate,Agent 223: Customer Advocate,,,,,Customer Experience
224,agent_224_voc_analyst.py,Voc Analyst,Agent 224: VOC Analyst,,,,,General Business
225,agent_225_support_quality_analyst.py,Support Quality Analyst,Agent 225: Support Quality Analyst,,,,,Customer Experience
226,agent_226_support_analytics_specialist.py,Support Analytics Specialist,Agent 226: Support Analytics Specialist,,,,analysis,Information & Data
227,agent_227_community_manager.py,Community Manager,Agent 227: Community Manager,,,,management,General Business
228,agent_228_customer_education_manager.py,Customer Education Manager,Agent 228: Customer Education Manager,,,,management,Customer Experience
229,agent_229_customer_health_specialist.py,Customer Health Specialist,Agent 229: Customer Health Specialist,,,,,Customer Experience
230,agent_230_renewal_specialist.py,Renewal Specialist,Agent 230: Renewal Specialist,,,,,General Business
231,agent_231_expansion_specialist.py,Expansion Specialist,Agent 231: Expansion Specialist,,,,,General Business
232,agent_232_churn_prevention_specialist.py,Churn Prevention Specialist,Agent 232: Churn Prevention Specialist,,,,,Communications & PR
233,agent_233_product_specialist.py,Product Specialist,Agent 233: Product Specialist,,,,,Product Management
234,agent_234_technical_account_manager.py,Technical Account Manager,Agent 234: Technical Account Manager,,,,management,Sales & Revenue
235,agent_235_customer_insights_analyst.py,Customer Insights Analyst,Agent 235: Customer Insights Analyst,,,,,Customer Experience
236,agent_236_support_tools_administrator.py,Support Tools Administrator,Agent 236: Support Tools Administrator,,,,,Customer Experience
237,agent_237_sla_manager.py,Sla Manager,Agent 237: SLA Manager,,,,management,General Business
238,agent_238_customer_feedback_coordinator.py,Customer Feedback Coordinator,Agent 238: Customer Feedback Coordinator,,,,,Executive Leadership
239,agent_239_beta_program_manager.py,Beta Program Manager,Agent 239: Beta Program Manager,,,,management,Communications & PR
240,agent_240_customer_advisory_board_coordinator.py,Customer Advisory Board Coordinator,Agent 240: Customer Advisory Board Coordinator,,,,,Executive Leadership
241,agent_241_vp_legal_operations.py,Vp Legal Operations,Agent 241: VP Legal Operations,,,,,Legal
242,agent_242_vp_corporate_affairs.py,Vp Corporate Affairs,Agent 242: VP Corporate Affairs,,,,,General Business
243,agent_243_director_contracts.py,Director Contracts,Agent 243: Director Contracts,,,,,Technology & Engineering
244,agent_244_director_litigation.py,Director Litigation,Agent 244: Director Litigation,,,,,Technology & Engineering
245,agent_245_director_ip_legal.py,Director Ip Legal,Agent 245: Director IP Legal,,,,web search,Technology & Engineering
246,agent_246_director_regulatory_affairs.py,Director Regulatory Affairs,Agent 246: Director Regulatory Affairs,,,,,Technology & Engineering
247,agent_247_senior_corporate_counsel.py,Senior Corporate Counsel,Agent 247: Senior Corporate Counsel,,,,,Legal
248,agent_248_commercial_counsel.py,Commercial Counsel,Agent 248: Commercial Counsel,,,,web search,Legal
249,agent_249_employment_counsel.py,Employment Counsel,Agent 249: Employment Counsel,,,,,Legal
250,agent_250_ip_counsel.py,Ip Counsel,Agent 250: IP Counsel,,,,web search,Legal
251,agent_251_privacy_counsel.py,Privacy Counsel,Agent 251: Privacy Counsel,,,,,Legal
252,agent_252_contracts_manager.py,Contracts Manager,Agent 252: Contracts Manager,,,,management,Legal
253,agent_253_contract_specialist.py,Contract Specialist,Agent 253: Contract Specialist,,,,,Legal
254,agent_254_paralegal.py,Paralegal,Agent 254: Paralegal,,,,web search,Legal
255,agent_255_legal_assistant.py,Legal Assistant,Agent 255: Legal Assistant,,,,,Legal
256,agent_256_compliance_manager.py,Compliance Manager,Agent 256: Compliance Manager,,,,management,Security & Compliance
257,agent_257_regulatory_compliance_specialist.py,Regulatory Compliance Specialist,Agent 257: Regulatory Compliance Specialist,,,,,Security & Compliance
258,agent_258_ethics_compliance_officer.py,Ethics Compliance Officer,Agent 258: Ethics Compliance Officer,,,,,Security & Compliance
259,agent_259_privacy_compliance_specialist.py,Privacy Compliance Specialist,Agent 259: Privacy Compliance Specialist,,,,,Security & Compliance
260,agent_260_gdpr_specialist.py,Gdpr Specialist,Agent 260: GDPR Specialist,,,,,Communications & PR
261,agent_261_export_compliance_specialist.py,Export Compliance Specialist,Agent 261: Export Compliance Specialist,,,,,Security & Compliance
262,agent_262_anti_corruption_specialist.py,Anti Corruption Specialist,Agent 262: Anti-Corruption Specialist,,,,,General Business
